sample_id,request_id,test_type,status,priority,department,created_date,updated_date
S001,REQ-101,Blood Test,COMPLETED,HIGH,Hematology,2026-04-01 08:00:00,2026-04-02 14:30:00
S002,REQ-101,Urine Test,COMPLETED,NORMAL,Urinalysis,2026-04-01 08:15:00,2026-04-02 10:00:00
S003,REQ-102,Blood Test,IN_PROGRESS,HIGH,Hematology,2026-04-03 09:00:00,2026-04-03 11:00:00
S004,REQ-102,Liver Function Test,IN_PROGRESS,URGENT,Biochemistry,2026-04-02 10:00:00,2026-04-02 12:00:00
S005,REQ-103,Thyroid Panel,RECEIVED,NORMAL,Endocrinology,2026-04-05 07:30:00,2026-04-05 07:30:00
S006,REQ-103,CBC,IN_PROGRESS,HIGH,Hematology,2026-04-04 08:00:00,2026-04-04 10:00:00
S007,REQ-104,Blood Culture,RECEIVED,URGENT,Microbiology,2026-04-06 09:00:00,2026-04-06 09:00:00
S008,REQ-104,Urine Culture,IN_PROGRESS,HIGH,Microbiology,2026-04-01 11:00:00,2026-04-01 14:00:00
S009,REQ-105,Lipid Profile,COMPLETED,NORMAL,Biochemistry,2026-04-07 08:00:00,2026-04-08 09:00:00
S010,REQ-105,Blood Glucose,COMPLETED,NORMAL,Biochemistry,2026-04-07 08:30:00,2026-04-07 16:00:00
S011,REQ-106,HbA1c,IN_PROGRESS,HIGH,Biochemistry,2026-04-03 10:00:00,2026-04-03 12:00:00
S012,REQ-106,Kidney Function Test,RECEIVED,NORMAL,Biochemistry,2026-04-08 07:00:00,2026-04-08 07:00:00
S013,REQ-107,Blood Test,IN_PROGRESS,URGENT,Hematology,2026-04-02 09:00:00,2026-04-02 11:00:00
S014,REQ-107,ESR,COMPLETED,NORMAL,Hematology,2026-04-09 08:00:00,2026-04-09 15:00:00
S015,REQ-108,Vitamin D,IN_PROGRESS,NORMAL,Biochemistry,2026-04-05 10:00:00,2026-04-05 12:00:00
S016,REQ-108,Vitamin B12,RECEIVED,NORMAL,Biochemistry,2026-04-10 09:00:00,2026-04-10 09:00:00
S017,REQ-109,Malaria Test,IN_PROGRESS,URGENT,Microbiology,2026-04-01 07:00:00,2026-04-01 09:00:00
S018,REQ-109,Dengue NS1,COMPLETED,URGENT,Microbiology,2026-04-10 10:00:00,2026-04-11 08:00:00
S019,REQ-110,Electrolytes,IN_PROGRESS,HIGH,Biochemistry,2026-04-04 11:00:00,2026-04-04 14:00:00
S020,REQ-110,Calcium,RECEIVED,NORMAL,Biochemistry,2026-04-11 08:00:00,2026-04-11 08:00:00
S021,REQ-111,Prothrombin Time,IN_PROGRESS,URGENT,Hematology,2026-04-03 08:00:00,2026-04-03 10:00:00
S022,REQ-111,APTT,COMPLETED,HIGH,Hematology,2026-04-11 09:00:00,2026-04-11 16:00:00
S023,REQ-112,Stool Test,RECEIVED,NORMAL,Microbiology,2026-04-06 10:00:00,2026-04-06 10:00:00
S024,REQ-112,Urine Routine,IN_PROGRESS,NORMAL,Urinalysis,2026-04-05 09:00:00,2026-04-05 11:00:00
S025,REQ-113,Ferritin,IN_PROGRESS,HIGH,Biochemistry,2026-04-02 08:00:00,2026-04-02 10:00:00
S026,REQ-113,Iron Studies,RECEIVED,NORMAL,Biochemistry,2026-04-12 07:00:00,2026-04-12 07:00:00
S027,REQ-114,CRP,IN_PROGRESS,URGENT,Biochemistry,2026-04-04 09:00:00,2026-04-04 11:00:00
S028,REQ-114,RF Factor,COMPLETED,NORMAL,Biochemistry,2026-04-12 10:00:00,2026-04-13 09:00:00
S029,REQ-115,TSH,IN_PROGRESS,HIGH,Endocrinology,2026-04-03 11:00:00,2026-04-03 14:00:00
S030,REQ-115,Free T4,RECEIVED,NORMAL,Endocrinology,2026-04-13 08:00:00,2026-04-13 08:00:00
S031,REQ-116,PSA,IN_PROGRESS,HIGH,Biochemistry,2026-04-01 10:00:00,2026-04-01 12:00:00
S032,REQ-116,CEA,COMPLETED,NORMAL,Biochemistry,2026-04-13 09:00:00,2026-04-14 10:00:00
S033,REQ-117,ANA,RECEIVED,HIGH,Immunology,2026-04-07 10:00:00,2026-04-07 10:00:00
S034,REQ-117,Anti-dsDNA,IN_PROGRESS,HIGH,Immunology,2026-04-06 08:00:00,2026-04-06 10:00:00
S035,REQ-118,Widal Test,COMPLETED,URGENT,Microbiology,2026-04-08 09:00:00,2026-04-09 08:00:00
S036,REQ-118,Blood Culture,IN_PROGRESS,URGENT,Microbiology,2026-04-05 08:00:00,2026-04-05 10:00:00
S037,REQ-119,Creatinine,IN_PROGRESS,NORMAL,Biochemistry,2026-04-04 10:00:00,2026-04-04 12:00:00
S038,REQ-119,BUN,COMPLETED,NORMAL,Biochemistry,2026-04-14 08:00:00,2026-04-14 15:00:00
S039,REQ-120,Platelet Count,RECEIVED,URGENT,Hematology,2026-04-09 07:00:00,2026-04-09 07:00:00
S040,REQ-120,WBC Count,IN_PROGRESS,HIGH,Hematology,2026-04-03 09:30:00,2026-04-03 11:30:00
